0.001388889,60,2.63
0.002777778,60,4.15
0.004861111,60,2.75
0.00625,60,2.33
0.008333333,60,2.7
0.009722222,60,2.33
0.011111111,60,2.95
0.013194444,60,4.28
0.014583333,60,2.6
0.016666667,60,2.25
0.018055556,60,2.42
0.020138889,60,2.42
0.021527778,60,2.42
0.022916667,60,2.2
0.025,60,2.08
0.026388889,60,4.68
0.028472222,60,2.8
0.029861111,60,2.78
0.031944444,60,3.25
0.033333333,60,2.65
0.035416667,50,3.67
0.0375,50,3.42
0.038888889,50,3.05
0.040277778,50,4.6
0.042361111,50,3.17
0.04375,50,2.35
0.045833333,50,2.38
0.047222222,50,2.3
0.049305556,50,2.8
0.050694444,50,2.9
0.052777778,50,3.6
0.054166667,50,4.32
0.05625,60,2.75
0.058333333,60,3.67
0.059722222,60,2.72
0.061805556,60,2.92
0.063194444,60,2.97
0.065277778,60,2.45
0.066666667,60,2.63
0.06875,60,3.38
0.070138889,60,6.88
0.072222222,60,2.28
0.073611111,60,2.65
0.075694444,60,2.83
0.077083333,60,2.7
0.079166667,60,2.33
0.080555556,60,2.45
0.081944444,60,3.08
0.084027778,60,3.05
0.085416667,60,2.4
0.0875,60,2.13
0.088888889,60,4.5
0.090972222,50,2.65
0.092361111,50,4.5
0.094444444,50,2.3
0.095833333,50,2.3
0.097916667,50,3.35
0.099305556,50,1.9
0.101388889,50,2.5
0.104166667,60,2.13
0.10625,60,2.17
0.109722222,60,2.6
0.111111111,60,3
0.113194444,60,2.15
0.114583333,60,4.3
0.116666667,60,2.7
0.118055556,60,2.33
0.120138889,60,2.38
0.121527778,60,4.07
0.123611111,60,2.75
0.125,70,2.53
0.126388889,70,2.45
0.128472222,70,3.05
0.130555556,70,3.75
0.131944444,70,2.97
0.134027778,70,3.45
0.135416667,70,3.17
0.1375,70,3.53
0.138888889,70,5.65
0.140277778,70,3.53
0.142361111,70,3.5
0.14375,70,3.88
0.145833333,70,2.6
0.149305556,60,2.53
0.150694444,60,2.97
0.152777778,60,3.08
0.154166667,60,4.05
0.155555556,60,2.8
0.157638889,60,4.3
0.159027778,60,3.55
0.161111111,60,5.57
0.1625,60,4.88
0.165972222,60,2.75
0.168055556,60,3.63
0.169444444,60,2.92
0.170833333,60,2.67
0.172916667,60,4
0.174305556,60,3.3
0.176388889,60,3.28
0.177777778,60,3.28
0.179861111,60,4.22
0.18125,60,3.25
0.183333333,60,4.8
0.184722222,60,3.63
0.186805556,60,2.63
0.188194444,60,4.47
0.190277778,60,3.2
0.191666667,60,2.9
0.19375,60,2.45
0.195138889,60,2.53
0.197222222,60,3.45
0.198611111,60,5.07
0.2,60,3.9
0.202083333,70,4.28
0.203472222,70,4.88
0.205555556,70,9.52
0.206944444,70,2.95
0.209027778,60,4.78
0.210416667,60,3.45
0.2125,60,3.08
0.213888889,60,5.22
0.215972222,240,3.28
0.217361111,240,2.85
0.219444444,240,4.65
0.220833333,240,5
0.222916667,250,2.55
0.224305556,250,3.3
0.226388889,250,4.75
0.227777778,250,7.2
0.229861111,240,2.97
0.23125,240,3.85
0.233333333,240,3.55
0.234722222,240,9.25
0.236805556,240,4.45
0.238194444,240,5.32
0.240277778,240,4.35
0.241666667,240,3.63
0.243055556,240,4.63
0.245138889,240,5.88
0.246527778,240,8.75
0.248611111,240,5.7
0.25,240,4.25
0.252083333,240,3.45
0.253472222,240,4.55
0.255555556,240,3.95
0.256944444,240,4.78
0.259027778,240,3.97
0.260416667,240,3.28
0.2625,240,3.6
0.263888889,240,6.45
0.265277778,230,3.53
0.267361111,230,6.32
0.26875,230,2.95
0.270833333,230,2.7
0.272222222,230,3.53
0.274305556,230,4.1
0.275694444,230,5.55
0.277777778,230,8.07
0.279166667,230,4.78
0.28125,230,3.97
0.282638889,230,2.8
0.284722222,240,3.35
0.286111111,240,2.78
0.2875,240,4
0.289583333,240,5.35
0.290972222,240,4.82
0.293055556,240,5.18
0.294444444,240,4.6
0.296527778,240,3.88
0.297916667,240,3.03
0.3,250,3.45
0.301388889,250,5.85
0.302777778,250,3.42
0.304861111,250,3.08
0.30625,260,3.63
0.308333333,260,4.25
0.309722222,260,3.33
0.311805556,260,3.85
0.313194444,250,2.42
0.315277778,250,3.2
0.316666667,250,2.58
0.31875,250,1.95
0.320138889,260,2.25
0.322222222,260,2.13
0.323611111,260,2.72
0.325,260,2.72
0.327083333,150,11.35
0.328472222,150,2.2
0.330555556,150,2.5
0.331944444,150,2.47
0.334027778,150,2.88
0.335416667,150,3.17
0.3375,150,3.03
0.338888889,150,1.83
0.340972222,140,2.03
0.342361111,140,1.38
0.344444444,140,1.88
0.345833333,140,1.85
0.347916667,140,1.65
0.349305556,140,6.1
0.351388889,140,3.92
0.352777778,140,3.25
0.354861111,140,2.05
0.35625,140,2.95
0.358333333,140,8.18
0.359722222,140,2.53
0.361111111,150,1.73
0.364583333,150,1.95
0.366666667,150,2.55
0.36875,160,0.77
0.372222222,160,1.5
0.374305556,160,1.5
0.375694444,160,1.95
0.379861111,160,1.42
0.38125,160,2.58
0.383333333,160,3.17
0.385416667,160,2.2
0.3875,160,1.9
0.388888889,160,6.22
0.392361111,160,1.4
0.394444444,160,1.75
0.395833333,160,1.33
0.397222222,170,3.4
0.399305556,170,1.63
0.400694444,170,3.75
0.403472222,170,4.88
0.404861111,170,1.7
0.408333333,170,1.98
0.410416667,170,1.88
0.411805556,170,3.42
0.413888889,170,1.2
0.415277778,170,2.1
0.41875,170,0.98
0.420833333,170,2.45
0.422916667,170,2.67
0.424305556,160,1.92
0.426388889,160,1.33
